available,case_101_excluded,case_id,height,image_filename,source_image_path,width
True,False,25,983,25.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/25.jpg,1914
True,False,26,450,26.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/26.jpg,800
True,False,27,450,27.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/27.jpg,800
True,False,28,720,28.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/28.jpg,1280
True,False,29,1564,29.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/29.jpg,2506
True,False,40,445,40.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/DATA_SET/Assigned_Photos_to_Write_Report/Carlos/40.png,792
True,False,41,558,41.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/41.png,784
True,False,42,945,42.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/42.png,1920
True,False,44,1887,44.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/44.jpg,3351
True,False,46,512,46.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/46.jpg,768
True,False,48,450,48.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/48.jpg,800
True,False,49,1558,49.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/49.jpg,2865
True,False,50,1200,50.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/50.jpg,1800
True,False,51,960,51.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/51.jpg,1280
True,False,53,1181,53.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/53.jpg,2048
True,False,56,493,56.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/56.png,426
True,False,57,556,57.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/57.png,583
True,False,59,1272,59.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/59.jpg,2200
True,False,61,720,61.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/61.jpg,960
True,False,62,342,62.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/62.jpg,508
True,False,63,400,63.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/63.jpg,756
True,False,64,758,64.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/64.jpg,1338
True,False,65,748,65.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/no_reports/images/65.jpg,1333
True,False,66,555,66.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/66.jpg,993
True,False,67,540,67.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/67.jpg,960
True,False,68,735,68.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/68.jpg,1103
True,False,69,735,69.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/69.jpg,980
True,False,70,422,70.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/70.jpg,640
True,False,73,852,73.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/73.jpg,1280
True,False,74,853,74.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/74.jpg,1280
True,False,75,854,75.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/75.jpg,1280
True,False,76,1300,76.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/76.jpg,1733
True,False,77,1253,77.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/77.jpg,1880
True,False,78,748,78.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/78.jpg,967
True,False,79,745,79.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/79.jpg,1131
True,False,80,740,80.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/80.jpg,1327
True,False,81,408,81.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/81.jpg,612
True,False,82,720,82.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/82.jpg,1200
True,False,83,486,83.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/83.jpg,644
True,False,84,514,84.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/84.jpg,765
True,False,85,468,85.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/85.jpg,620
True,False,86,670,86.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/86.jpg,1001
True,False,87,472,87.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/87.jpg,851
True,False,88,1676,88.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/88.jpg,2500
True,False,89,411,89.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/89.jpg,659
True,False,90,559,90.png,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/90.png,775
True,False,91,947,91.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/91.jpg,1300
True,False,92,525,92.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/92.jpg,700
True,False,93,640,93.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/93.jpg,1200
True,False,94,1152,94.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/94.jpg,2048
True,False,95,590,95.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/95.jpg,895
True,False,96,960,96.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/96.jpg,1280
True,False,97,720,97.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/97.jpg,1280
True,False,98,3744,98.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/98.jpg,5616
True,False,99,1075,99.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/99.jpg,1600
True,False,100,598,100.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/100.jpg,1078
True,False,102,750,102.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/102.jpg,1920
True,False,103,750,103.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/103.jpg,1920
True,False,104,750,104.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/104.jpg,1920
True,False,105,750,105.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/105.jpg,1920
True,False,106,650,106.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/no_reports/images/106.jpg,980
True,False,107,547,107.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/107.jpg,800
True,False,108,750,108.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/108.jpg,1920
True,False,109,750,109.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/109.jpg,1920
True,False,110,208,110.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/110.jpg,312
True,False,125,430,125.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/no_reports/images/125.jpg,584
True,False,141,150,141.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/141.jpg,200
True,False,142,1066,142.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/142.jpg,1300
True,False,143,449,143.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/143.jpg,600
True,False,144,954,144.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/144.jpg,1300
True,False,145,449,145.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/145.jpg,600
True,False,146,459,146.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/146.jpg,612
True,False,147,367,147.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/147.jpg,612
True,False,148,408,148.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/148.jpg,612
True,False,149,408,149.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/149.jpg,612
True,False,150,408,150.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/150.jpg,612
True,False,151,410,151.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/151.jpg,612
True,False,152,412,152.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/152.jpg,612
True,False,153,408,153.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/153.jpg,612
True,False,154,416,154.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/154.jpg,612
True,False,155,401,155.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/155.jpg,612
True,False,156,449,156.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/156.jpg,612
True,False,157,407,157.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/157.jpg,612
True,False,158,407,158.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/158.jpg,612
True,False,159,408,159.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/159.jpg,612
True,False,160,332,160.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/160.jpg,590
True,False,161,406,161.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/161.jpg,612
True,False,162,408,162.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/162.jpg,612
True,False,163,443,163.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/163.jpg,612
True,False,164,408,164.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/164.jpg,612
True,False,165,947,165.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/165.jpg,1300
True,False,166,627,166.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/166.jpg,1200
True,False,167,750,167.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/167.jpg,1124
True,False,168,257,168.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/168.jpg,400
True,False,169,953,169.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/169.jpg,1300
True,False,170,480,170.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/images_with_reports/170.jpg,640
True,False,172,1018,172.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/no_reports/images/172.jpg,1300
True,False,187,595,187.jpg,/home/williambenitez1/Capstone/z_reference_docs/Data_set_Storage/human_reports/no_reports/images/187.jpg,1209
