case_id,image_filename,label,target_type,error_type,bbox,likely_failure_class,prediction_only_geometry_addressable,crop_verifier_addressable,prompt_wording_addressable,visual_review_needed,dense_case_risk,case110_risk,control_case_effect,notes
44,44.jpg,target_1,military_equipment,FN,"[7.0, 415.0, 443.0, 815.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=174400.0
44,44.jpg,target_3,military_equipment,FN,"[529.0, 709.0, 1179.0, 1110.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=260650.0
53,53.jpg,target_3,military_equipment,FN,"[1379.0, 603.0, 1841.0, 758.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=71610.0
57,57.png,target_1,buildings,FP,"[430.0, 315.0, 510.0, 403.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=7040.0; containment=0.000; iou=0.000
66,66.jpg,target_0,military_equipment,FP,"[45.0, 282.0, 62.0, 290.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=136.0; containment=0.412; iou=0.219
66,66.jpg,target_1,military_equipment,FP,"[55.0, 280.0, 71.0, 291.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=176.0; containment=0.375; iou=0.146
66,66.jpg,target_2,military_equipment,FP,"[65.0, 276.0, 84.0, 294.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=342.0; containment=0.263; iou=0.119
66,66.jpg,target_3,military_equipment,FP,"[79.0, 273.0, 101.0, 296.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=506.0; containment=0.318; iou=0.156
66,66.jpg,target_4,military_equipment,FP,"[94.0, 269.0, 117.0, 299.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=690.0; containment=0.261; iou=0.120
67,67.jpg,target_0,military_equipment,FP,"[29.0, 150.0, 58.0, 172.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=638.0; containment=0.282; iou=0.164
67,67.jpg,target_1,military_equipment,FP,"[48.0, 154.0, 77.0, 176.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=638.0; containment=0.282; iou=0.160
67,67.jpg,target_2,military_equipment,FP,"[67.0, 158.0, 96.0, 181.0]",adjacent_target_confusion,false,true,false,true,true,false,false,area=667.0; containment=0.000; iou=0.000
67,67.jpg,target_5,military_equipment,FN,"[185.0, 184.0, 201.0, 200.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=256.0
70,70.jpg,target_2,buildings,FN,"[135.0, 1.0, 588.0, 278.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=125481.0
76,76.jpg,target_1,buildings,FN,"[403.0, 488.0, 801.0, 939.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=179498.0
76,76.jpg,target_2,buildings,FN,"[826.0, 679.0, 936.0, 971.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=32120.0
77,77.jpg,target_1,buildings,FP,"[1527.0, 0.0, 1880.0, 642.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=226626.0; containment=0.070; iou=0.015
84,84.jpg,target_7,military_equipment,FN,"[72.0, 184.0, 82.0, 244.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=600.0
84,84.jpg,target_8,military_equipment,FN,"[58.0, 204.0, 68.0, 240.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=360.0
84,84.jpg,target_9,military_equipment,FN,"[53.0, 208.0, 64.0, 238.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=330.0
84,84.jpg,target_10,military_equipment,FN,"[691.0, 127.0, 765.0, 332.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=15170.0
84,84.jpg,target_11,military_equipment,FN,"[0.0, 190.0, 12.0, 236.0]",dense_valid_target_missed,false,true,true,true,true,false,false,reference_area=552.0
86,86.jpg,target_1,buildings,FP,"[891.0, 360.0, 1001.0, 521.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=17710.0; containment=0.155; iou=0.006
92,92.jpg,target_1,military_equipment,FP,"[428.0, 177.0, 561.0, 279.0]",verifier_needed,false,true,false,true,false,false,false,area=13566.0; containment=0.171; iou=0.030
95,95.jpg,target_2,buildings,FN,"[1.0, 8.0, 895.0, 476.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=418392.0
97,97.jpg,target_1,buildings,FP,"[806.0, 0.0, 1280.0, 531.0]",oversized_group_box,true,true,false,true,true,false,false,area=251694.0; containment=0.000; iou=0.000
100,100.jpg,target_2,military_equipment,FP,"[830.0, 476.0, 962.0, 542.0]",contained_duplicate_prediction,true,true,false,true,false,false,false,area=8712.0; containment=0.833; iou=0.016
100,100.jpg,target_1,buildings,FN,"[0.0, 37.0, 149.0, 574.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=80013.0
100,100.jpg,target_3,buildings,FN,"[844.0, 4.0, 1078.0, 541.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=125658.0
102,102.jpg,target_1,buildings,FN,"[270.0, 49.0, 1521.0, 738.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=861939.0
103,103.jpg,target_0,buildings,FP,"[238.0, 328.0, 745.0, 525.0]",broad_context_scene_box,true,true,true,true,false,false,false,area=99879.0; containment=0.773; iou=0.277
105,105.jpg,target_1,buildings,FP,"[1052.0, 346.0, 1179.0, 525.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=22733.0; containment=0.000; iou=0.000
105,105.jpg,target_2,buildings,FP,"[1505.0, 356.0, 1836.0, 562.0]",building_or_structure_piece,false,true,false,true,false,false,false,area=68186.0; containment=0.000; iou=0.000
108,108.jpg,target_2,buildings,FN,"[1297.0, 288.0, 1694.0, 478.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=75430.0
110,110.jpg,target_0,military_equipment,FP,"[109.0, 42.0, 133.0, 73.0]",broad_context_scene_box,true,true,true,true,false,true,false,area=744.0; containment=0.395; iou=0.150
110,110.jpg,target_4,military_equipment,FN,"[151.0, 42.0, 168.0, 65.0]",smoke_or_debris_confusion,false,true,false,true,false,true,false,reference_area=391.0
110,110.jpg,target_5,military_equipment,FN,"[150.0, 25.0, 169.0, 43.0]",smoke_or_debris_confusion,false,true,false,true,false,true,false,reference_area=342.0
110,110.jpg,target_6,military_equipment,FN,"[99.0, 12.0, 110.0, 29.0]",smoke_or_debris_confusion,false,true,false,true,false,true,false,reference_area=187.0
110,110.jpg,target_7,military_equipment,FN,"[17.0, 8.0, 28.0, 20.0]",smoke_or_debris_confusion,false,true,false,true,false,true,false,reference_area=132.0
141,141.jpg,target_3,military_equipment,FN,"[186.0, 40.0, 201.0, 92.0]",small_valid_target_missed,false,true,true,true,false,false,false,reference_area=780.0
146,146.jpg,target_2,military_equipment,FN,"[1.0, 160.0, 55.0, 187.0]",small_valid_target_missed,false,true,true,true,false,false,false,reference_area=1458.0
147,147.jpg,target_2,buildings,FN,"[207.0, 23.0, 294.0, 92.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=6003.0
147,147.jpg,target_3,buildings,FN,"[337.0, 20.0, 423.0, 89.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=5934.0
154,154.jpg,target_2,buildings,FN,"[1.0, 1.0, 613.0, 224.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=136476.0
155,155.jpg,target_1,military_equipment,FP,"[18.0, 111.0, 48.0, 143.0]",contained_duplicate_prediction,true,true,false,true,false,false,true,area=960.0; containment=1.000; iou=0.083
160,160.jpg,target_3,buildings,FN,"[270.0, 3.0, 477.0, 68.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=13455.0
160,160.jpg,target_4,buildings,FN,"[44.0, 5.0, 206.0, 59.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=8748.0
160,160.jpg,target_5,buildings,FN,"[516.0, 1.0, 590.0, 84.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=6142.0
161,161.jpg,target_1,buildings,FN,"[16.0, 111.0, 612.0, 245.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=79864.0
164,164.jpg,target_2,buildings,FN,"[480.0, 159.0, 613.0, 289.0]",building_or_structure_piece,false,true,false,true,false,false,false,reference_area=17290.0
169,169.jpg,target_1,military_equipment,FN,"[1.0, 98.0, 175.0, 322.0]",verifier_needed,false,true,false,true,false,false,false,reference_area=38976.0
